,artist,name,id,album,album_id,album_year,track,track_id
123,가비엔제이,Monday Kiz&Gavy NJ,5s8Gjcq4aoVwXvHwWO1m6Z,Soul train Part.2,597KD6swVqtzQWu5AgVZLU,2011-07-08,BingBingBing (feat.Sunnyside chang),68GpFOT10pwfFUYPX8pOVu
124,가비엔제이,Jenny Of Gavy NJ,1b4aotqKKi8EfufrFf6FyC,nan,nan,nan,nan,nan
125,가비엔제이,Gavy NJ & 6 to 8,6IycStuhKrlEqu6YAWlfHW,Please allow us to fall in love..,4vUJKKCnuhAjuSSpuxuH4S,2014-05-13,Please allow us to fall in love..,1AGU10Swll3VFbDNqHvyAf
126,가비엔제이,GavyNJ & The Seeya,0FDdpB0KOrjBOZ2Ee5VqLo,Tear up,3cGSwzdSZJOHlzF5qOA4Qv,2013-11-15,Tear up,1yD3o7OMzdEVRYyP0sVSlo
127,가비엔제이,Jang Hee Young(Gavy NJ),1BxrN93mj9Kfyr3c30p6bE,The day I loved,4iwA5uvdqfMFhgq6OkBdUa,2014-04-22,The day I loved,1OBgfY4AJLJf2uECGb28Gt
128,가비엔제이,Gavy NJ,60qqthNptdQHHTiSb7O1tg,The Emperor : Owner of the Mask OST Part.11 (Soundtrack),0fop40EElaaTtho0fZXbIE,2017-06-21,All my heart,0xwD55nKgCd5fRgw9tGuez
129,공일오비,015B,4uU7KfTjcjyKUGWSaTzLu7,Yearbook 2022,7wMpdprIWFdFG1z8vhpOb4,2023-02-28,My March (feat. Dawon),2mCAQ8CzbYedbzEhWIIS2S
130,공일오비,Lee Juck,0pfVDTchnVMBTzGylIuJNa,Trace,2U7ymBwDYD9MisdhuSQbsk,2020-11-11,Water,5Z3RG0NV7wTivlz71szjce
131,구본승,Diva,0CI6MkDddUbiuI8T7V5ZcF,Only Diva,74OewP8N2dDXLOVfUfo9Fx,2005-08-29,nan,nan
132,구본승,구본암,5jA6gbaLRLnA0Nfk5WSfFd,Koobonam: Bass Pieces 1,61xcmkhhoJspqFAgbaUF8I,2021-08-17,Zangief,1b4SgLKFhi3vrAWsjuSsoL
133,구본승,구본수,1QNcPwrY8ADGPfbMtZAyuW,nan,nan,nan,nan,nan
134,구본승,구본겸,3PIWo7AWtU7xeWkE2ZOTin,nan,nan,nan,nan,nan
135,김경호,Kim Kyung Ho,15Tra1ytu0naoNByIhZArl,First Love,7Hwx3pleovSxhlVgJ0xaH6,2019-05-16,nan,nan
136,김경호,김경호,25Qd17778cR6eX2fnHBfig,The Life,2whTv68Bl5aELGjqok13yu,2001-01-01,Intro,6WcZvUxzYqcoqfxTIgs3R6
137,김경호,Yoon Do Hyun,6KsmQPHXE3qhzNNBPSZ0eB,Difference,36HKeRjDoczel62iwy3z75,2005,I Guess I Loved You,1w2hClDL1xH4FPZIipZ1FJ
138,김경호,Kim Kyung Ho,65UXwY89OZG9und9DKJFpi,nan,nan,nan,nan,nan
139,김경호,M.C the Max,3MaRWfwKpbYnkYHC5gRKYo,CEREMONIA (Complete Edition),2itIZTzeIXjJn7sqReMvQE,2021-03-25,Intro,2uZAGpoTOjJMt5RAvbblGC
140,김경호,金京浩 (김경호),1jPXILK4KYFTo1ec1D6NCm,nan,nan,nan,nan,nan
